"ID","CD_MIC","NM_MIC","AR_MUN_2018"
"1","11001","Porto Velho","65659.805"
"2","11002","Guajará-Mirim","40802.668"
"3","11003","Ariquemes","24333.565"
"4","11004","Ji-Paraná","25090.401"
"5","11005","Alvorada D'Oeste","15965.921"
"6","11006","Cacoal","24526.272"
"7","11007","Vilhena","26762.835"
"8","11008","Colorado do Oeste","14623.766"
"9","12001","Cruzeiro do Sul","31944.729"
"10","12002","Tarauacá","53503.783"
"11","12003","Sena Madureira","40531.815"
"12","12004","Rio Branco","22250.498"
"13","12005","Brasiléia","15892.913"
"14","13001","Rio Negro","332219.175"
"15","13002","Japurá","72658.034"
"16","13003","Alto Solimões","213235.037"
"17","13004","Juruá","112647.183"
"18","13005","Tefé","39890.361"
"19","13006","Coari","112082.306"
"20","13007","Manaus","41304.283"
"21","13008","Rio Preto da Eva","31274.721"
"22","13009","Itacoatiara","25414.989"
"23","13010","Parintins","106944.75"
"24","13011","Boca do Acre","63563.259"
"25","13012","Purus","186851.459"
"26","13013","Madeira","221082.56"
"27","14001","Boa Vista","67941.317"
"28","14002","Nordeste de Roraima","30792.627"
"29","14003","Caracaraí","74082.849"
"30","14004","Sudeste de Roraima","51457.038"
"31","15001","Óbidos","157597.885"
"32","15002","Santarém","92474.334"
"33","15003","Almeirim","90377.815"
"34","15004","Portel","45126.632"
"35","15005","Furos de Breves","30068.153"
"36","15006","Arari","27614.906"
"37","15007","Belém","3129.572"
"38","15008","Castanhal","3762.36"
"39","15009","Salgado","5139.433"
"40","15010","Bragantina","8695.37"
"41","15011","Cametá","16662.29"
"42","15012","Tomé-Açu","23704.474"
"43","15013","Guamá","28247.815"
"44","15014","Itaituba","189595.529"
"45","15015","Altamira","226197.017"
"46","15016","Tucuruí","32877.524"
"47","15017","Paragominas","48400.924"
"48","15018","São Félix do Xingu","121177.743"
"49","15019","Parauapebas","22472.358"
"50","15020","Marabá","20073.25"
"51","15021","Redenção","21168.485"
"52","15022","Conceição do Araguaia","31195.436"
"53","16001","Oiapoque","37151.689"
"54","16002","Amapá","20088.063"
"55","16003","Macapá","38644.255"
"56","16004","Mazagão","46586.755"
"57","17001","Bico do Papagaio","15767.958"
"58","17002","Araguaína","26439.605"
"59","17003","Miracema do Tocantins","34776.107"
"60","17004","Rio Formoso","51405.411"
"61","17005","Gurupi","27445.415"
"62","17006","Porto Nacional","21198.105"
"63","17007","Jalapão","53506.805"
"64","17008","Dianópolis","47180.998"
"65","21001","Litoral Ocidental Maranhense","8576.526"
"66","21002","Aglomeração Urbana de São Luís","969.833"
"67","21003","Rosário","6165.39"
"68","21004","Lençóis Maranhenses","10226.651"
"69","21005","Baixada Maranhense","17101.285"
"70","21006","Itapecuru Mirim","6907.932"
"71","21007","Gurupi","21666.64"
"72","21008","Pindaré","36016.633"
"73","21009","Imperatriz","29244.671"
"74","21010","Médio Mearim","11005.36"
"75","21011","Alto Mearim e Grajaú","36819.678"
"76","21012","Presidente Dutra","6547.754"
"77","21013","Baixo Parnaíba Maranhense","6036.463"
"78","21014","Chapadinha","10794.247"
"79","21015","Codó","9910.262"
"80","21016","Coelho Neto","3606.923"
"81","21017","Caxias","15329.895"
"82","21018","Chapadas do Alto Itapecuru","25016.571"
"83","21019","Porto Franco","14226.932"
"84","21020","Gerais de Balsas","36503.352"
"85","21021","Chapadas das Mangabeiras","16969.172"
"86","22001","Baixo Parnaíba Piauiense","12494.033"
"87","22002","Litoral Piauiense","9695.473"
"88","22003","Teresina","9321.598"
"89","22004","Campo Maior","24337.986"
"90","22005","Médio Parnaíba Piauiense","8167.086"
"91","22006","Valença do Piauí","13429.622"
"92","22007","Alto Parnaíba Piauiense","25485.209"
"93","22008","Bertolínia","11098.172"
"94","22009","Floriano","18448.108"
"95","22010","Alto Médio Gurguéia","27608.957"
"96","22011","São Raimundo Nonato","27505.761"
"97","22012","Chapadas do Extremo Sul Piauiense","17853.54"
"98","22013","Picos","10317.986"
"99","22014","Pio IX","4296.299"
"100","22015","Alto Médio Canindé","31556.993"
"101","23001","Litoral de Camocim e Acaraú","8647.705"
"102","23002","Ibiapaba","5067.984"
"103","23003","Coreaú","2069.423"
"104","23004","Meruoca","288.45"
"105","23005","Sobral","8222.358"
"106","23006","Ipu","4221.796"
"107","23007","Santa Quitéria","6018.037"
"108","23008","Itapipoca","3721.098"
"109","23009","Baixo Curu","1437.51"
"110","23010","Uruburetama","1046.637"
"111","23011","Médio Curu","3011.361"
"112","23012","Canindé","5331.014"
"113","23013","Baturité","2696.039"
"114","23014","Chorozinho","1289.63"
"115","23015","Cascavel","2530.447"
"116","23016","Fortaleza","3348.616"
"117","23017","Pacajus","415.4"
"118","23018","Sertão de Cratéus","12830.681"
"119","23019","Sertão de Quixeramobim","11940.319"
"120","23020","Sertão de Inhamuns","11692.835"
"121","23021","Sertão de Senador Pompeu","9787.058"
"122","23022","Litoral de Aracati","2144.128"
"123","23023","Baixo Jaguaribe","9945.827"
"124","23024","Médio Jaguaribe","4304.945"
"125","23025","Serra do Pereiro","2047.806"
"126","23026","Iguatu","4762.838"
"127","23027","Várzea Alegre","3549.196"
"128","23028","Lavras da Mangabeira","1633.49"
"129","23029","Chapada do Araripe","4442.116"
"130","23030","Caririaçu","1300.608"
"131","23031","Barro","2647.211"
"132","23032","Cariri","4550.479"
"133","23033","Brejo Santo","1951.715"
"134","24001","Mossoró","4174.378"
